category_id,category_name
fu006,Armchairs Chaise Lounges
fu003,Sofas
19053,Armoires Wardrobes
st002,Bookcases Shelving Units
10475,Tv Media Furniture
st004,Dressers Storage Drawers
30454,Sideboards Buffets Sofa Tables
st003,Display Storage Cabinets
bm003,Beds
fu004,Tables Desks
16244,Bar Furniture
19141,Cafe Furniture
fu002,Chairs
od003,Outdoor Furniture
18767,Kids Furniture
fu005,Kitchen Islands Carts
46080,Room Dividers
45780,Nursery Furniture
bm002,Mattresses
bm003,Beds
24825,Mattress Bases
20656,Nightstands
19064,Headboards
24827,Bed Slats
19059,Under Bed Storage
tl004,Bedding
24822,Bed Legs
fu003,Sofas
fu006,Armchairs Chaise Lounges
10663,Sofa Beds
20926,Ottomans
10705,Coffee Side Tables
10382,Bookcases
11465,Shelf Units
11794,Besta System
10475,Tv Media Furniture
st003,Display Storage Cabinets
40690,Showers
20723,Bathroom Sinks
20724,Bathroom Taps Faucets
20490,Bathroom Mirrors
10555,Bathroom Accessories
10736,Bathroom Lighting
46079,Bathroom Furniture Sets
tl003,Bathroom Textiles
20859,Bathroom Stools Benches
ba002,Bathroom Storage
ba003,Bathroom Laundry
ka003,Kitchens
ka002,Appliances
24254,Kitchen Cabinets Fronts
24255,Kitchen Interior Organizers
24264,Kitchen Countertops
24261,Kitchen Faucets Sinks
22957,Modular Kitchens
10471,Kitchen Islands Carts
16298,Knobs Handles
16282,Kitchen Lighting
20676,Wall Storage
19121,Backsplashes Wall Panels
16200,Pantry
20651,Desks For Home
47069,Desks For Office
47070,Gaming Desks
20653,Desk Chairs For Home
20654,Office Chairs
10711,Drawer Units
10385,Storage Cabinets
16195,Cable Management Accessories
20502,Work Lamps
bc002,Baby
bc003,Kids
16257,Child Safety
kt003,Cookware
kt002,Cooking Baking Supplies
15934,Knives Chopping Boards
18860,Dinnerware
16043,Serveware
18865,Cutlery
18868,Drinkware
16044,Coffee Tea
15937,Food Storage Organizing
15938,Dishwashing Accessories
18850,Kitchen Textiles
20560,Napkins Napkin Holders
20538,Table Linen
18714,Kids Kitchenware Tableware
20636,Bakeware
10744,Led Light Bulbs
36812,Smart Lighting
14971,Decorative Lighting
16280,Integrated Lighting
17897,Outdoor Lighting
li002,Light Fixtures Lamps
st002,Bookcases Shelving Units
19053,Armoires Wardrobes
st005,Clothes Organizers
st004,Dressers Storage Drawers
fu005,Kitchen Islands Carts
30454,Sideboards Buffets Sofa Tables
st007,Small Storage
10475,Tv Media Furniture
st006,Wall Organization
st003,Display Storage Cabinets
46052,Storage Solution Systems
46078,Moving Supplies
16248,Bags
20528,Blankets Throws
18690,Baby Textiles
18730,Kids Textiles
tl004,Bedding
10659,Cushions Cushions Covers
tl003,Bathroom Textiles
tl002,Curtains Blinds
10655,Fabrics Sewing
18850,Kitchen Textiles
20538,Table Linen
17893,Outdoor Cushions
10760,Candle Holders Candles
42926,Home Fragrance
10759,Clocks
10757,Wall Decor
24924,Decorative Accessories
20489,Mirrors
10769,Vases Bowls
pp003,Plants Flowers
pp004,Flower Pots Stands
25227,Paper Shop
10550,Storage Boxes Baskets
10574,Noticeboards
10653,Rugs
20519,Bath Mats
10698,Door Mats
21957,Outdoor Flooring
ka002,Appliances
40845,Cords Chargers
40842,Speakers
40843,Mobile Tablet Accessories
46194,Wi Fi Speakers
36812,Smart Lighting
44531,Smart Blinds
od003,Outdoor Furniture
21958,Outdoor Organizing
24898,Grills
21957,Outdoor Flooring
31787,Outdoor Pots Plants
17893,Outdoor Cushions
34204,Outdoor Rugs
17887,Umbrellas Gazebos
17897,Outdoor Lighting
34203,Outdoor Accessories
pp004,Flower Pots Stands
pp003,Plants Flowers
20494,Plant Stands Movers
20493,Watering Cans
24887,Growing Accessories
20601,Laundry Baskets
20608,Ironing Boards
20602,Drying Racks
16213,Bins Bags
20609,Cleaning Accessories
15938,Dishwashing Accessories
48925,Laundry Cabinets Shelving
39569,Cats
39570,Dogs
46192,Snacks On The Go
25217,Meat
25214,Fish Seafood
25213,Vegetables Side Dishes
25212,Bread Dairy
25215,Pastries Desserts Cookies
25216,Sauces Jam Condiments
25211,Beverages
16298,Knobs Handles
42948,Oils Stains Product Care
21957,Outdoor Flooring
46077,Acoustic Panels
46078,Moving Supplies
16292,Tools Hardware
16249,Safety
19121,Backsplashes Wall Panels
16257,Child Safety
16256,Home Safety
16248,Bags
16251,Books
24847,Games Recreation
25227,Paper Shop
