category_id,category_name
53250,Remote Light Controls Wireless Devices
53259,Smart Systems Controls
46194,Wi Fi Speakers
36812,Smart Lighting
44531,Smart Blinds
fu003,Sofas
fu006,Armchairs Chaise Lounges
bm003,Beds
19053,Armoires Wardrobes
fu004,Tables Desks
fu002,Chairs
10475,Tv Media Furniture
st002,Bookcases Shelving Units
st004,Dressers Storage Drawers
st003,Display Storage Cabinets
fu005,Kitchen Islands Carts
od003,Outdoor Furniture
16244,Bar Furniture
19141,Cafe Furniture
30454,Sideboards Buffets Sofa Tables
46080,Room Dividers
18767,Kids Furniture
45780,Nursery Furniture
bm003,Beds
bm002,Mattresses
tl004,Bedding
19059,Under Bed Storage
20656,Nightstands
24827,Bed Slats
19064,Headboards
24825,Mattress Bases
24822,Bed Legs
19053,Armoires Wardrobes
10475,Tv Media Furniture
st002,Bookcases Shelving Units
st003,Display Storage Cabinets
st004,Dressers Storage Drawers
st006,Wall Organization
30454,Sideboards Buffets Sofa Tables
46052,Storage Solution Systems
fu005,Kitchen Islands Carts
st005,Clothes Organizers
st007,Small Storage
16248,Bags
46078,Moving Supplies
ka003,Kitchens
19121,Backsplashes Wall Panels
24255,Kitchen Interior Organizers
24261,Kitchen Faucets Sinks
ka002,Appliances
24264,Kitchen Countertops
16282,Kitchen Lighting
10471,Kitchen Islands Carts
20676,Wall Storage
16298,Knobs Handles
22957,Modular Kitchens
16200,Pantry
bc002,Baby
bc003,Kids
tl004,Bedding
tl002,Curtains Blinds
10659,Cushions Cushions Covers
tl003,Bathroom Textiles
18690,Baby Textiles
18730,Kids Textiles
10655,Fabrics Sewing
18850,Kitchen Textiles
20538,Table Linen
17893,Outdoor Cushions
20528,Blankets Throws
pp004,Flower Pots Stands
10760,Candle Holders Candles
10757,Wall Decor
20489,Mirrors
pp003,Plants Flowers
10769,Vases Bowls
10550,Storage Boxes Baskets
10759,Clocks
24924,Decorative Accessories
42926,Home Fragrance
10574,Noticeboards
25227,Paper Shop
16309,Holiday Decoration
10744,Led Light Bulbs
14971,Decorative Lighting
li002,Light Fixtures Lamps
36812,Smart Lighting
16280,Integrated Lighting
17897,Outdoor Lighting
kt003,Cookware
15937,Food Storage Organizing
kt002,Cooking Baking Supplies
20636,Bakeware
15934,Knives Chopping Boards
18860,Dinnerware
18868,Drinkware
18865,Cutlery
16044,Coffee Tea
16043,Serveware
20560,Napkins Napkin Holders
15938,Dishwashing Accessories
18850,Kitchen Textiles
20538,Table Linen
18714,Kids Kitchenware Tableware
tl003,Bathroom Textiles
ba002,Bathroom Storage
20490,Bathroom Mirrors
20859,Bathroom Stools Benches
10555,Bathroom Accessories
20723,Bathroom Sinks
20724,Bathroom Taps Faucets
40690,Showers
10736,Bathroom Lighting
46079,Bathroom Furniture Sets
ba003,Bathroom Laundry
10653,Rugs
20519,Bath Mats
21957,Outdoor Flooring
10698,Door Mats
od003,Outdoor Furniture
21958,Outdoor Organizing
31787,Outdoor Pots Plants
17887,Umbrellas Gazebos
17893,Outdoor Cushions
34203,Outdoor Accessories
21957,Outdoor Flooring
24898,Grills
34204,Outdoor Rugs
17897,Outdoor Lighting
20601,Laundry Baskets
16213,Bins Bags
20602,Drying Racks
20608,Ironing Boards
20609,Cleaning Accessories
15938,Dishwashing Accessories
48925,Laundry Cabinets Shelving
16257,Child Safety
16256,Home Safety
16249,Safety
16292,Tools Hardware
21957,Outdoor Flooring
42948,Oils Stains Product Care
16298,Knobs Handles
19121,Backsplashes Wall Panels
46077,Acoustic Panels
46078,Moving Supplies
pp004,Flower Pots Stands
pp003,Plants Flowers
20494,Plant Stands Movers
20493,Watering Cans
24887,Growing Accessories
44531,Smart Blinds
36812,Smart Lighting
40845,Cords Chargers
ka002,Appliances
40843,Mobile Tablet Accessories
40842,Speakers
53254,Summer Food
25213,Vegetables Side Dishes
49147,Side Dishes Sauces
46192,Snacks On The Go
25217,Meat
25214,Fish Seafood
25212,Bread Dairy
25215,Pastries Desserts Cookies
25216,Sauces Jam Condiments
25211,Beverages
16248,Bags
24847,Games Recreation
25227,Paper Shop
16251,Books
39569,Cats
39570,Dogs
25228,Wrapping Paper Gift Bags Accessories
49152,Holiday Textiles
49227,Holiday Foods
49154,Winter Cooking Baking
49153,Winter Tableware
49151,Winter Pots Plants
49150,Winter Lights
49149,Winter Decorations
